ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'max_depth': 3, 'max_features': 'sqrt'}",minmax,258,True,True,2,12,1361.071021217892,2.4969132527437243,1159.169257727144,-1.1303501536024614,990.5434705816042,-315.0,0.95,311.8365453870759,185.53059432735756,0.991268130119163,147.88109443680366,0.8468799628850842,6,rmse,1482.1176341093994,,,,12951.619198752645,0.02198327098731175,12006.807803653466,0.5851762124009784,True,"New York, NY"
prophet,prophet,,{'n_changepoints': 2},,258,True,True,2,12,1033.5145438029704,1.2527347276757526,887.611735472457,-0.22835133419234865,91.04267901371537,-315.0,0.95,879.032216122105,449.52736774048196,1.1623183799021348,322.45801719188603,0.020545409855788788,6,rmse,1148.0552783626842,True,,,33536.55493823451,0.052584782684937714,29233.16202698129,-1.7813293173319575,False,"New York, NY"
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,258,True,True,2,12,969.1537377085157,1.0671854815256068,823.6308752386667,-0.08012686245094147,39.4145587716753,-315.0,0.95,1049.1248447817397,470.18855339152447,0.9993617047140185,347.6081160593363,0.01656636359470942,6,rmse,1127.2777794281558,,,,36630.93951980617,0.057286184862239686,31853.6923078012,-2.318269339314488,False,"New York, NY"
weighted,combo,,"{'how': 'weighted', 'models': 'top_5'}",,258,False,,2,12,1039.6241809018584,1.145535824141627,879.1310427307367,-0.24291709573040277,85.48528927305752,-315.0,0.95,902.3277731563081,421.98631425072136,1.008745025379233,311.10918683851344,0.20786776530878381,,,,,"['mlp', 'knn', 'svr', 'elasticnet', 'prophet']","(0.33272163920614956, 0.2614449931472779, 0.20520037894299137, 0.17038556695756768, 0.030247421746013595)",37316.29717166524,0.058358666342190495,32450.00147855512,-2.443599251208176,False,"New York, NY"
knn,knn,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'n_neighbors': 2, 'weights': 'uniform'}",minmax,258,True,True,2,12,1270.0541245028367,1.4485458809488545,1054.625,-0.8549571226024761,275.0,-315.0,0.95,651.1423007806854,324.03438056359704,1.3356205416010978,239.38936170212767,0.5329287473729112,6,rmse,1113.776907643537,,,,37309.824563489085,0.05861452572831971,32579.166666666668,-2.4424047524336605,False,"New York, NY"
avg,combo,,"{'how': 'simple', 'models': 'top_3'}",,258,False,,2,12,1057.635363690505,1.161518338450706,892.3083848297059,-0.2863564969518366,96.56645641992161,-315.0,0.95,755.9351082307543,409.824060982444,1.0207862319631642,301.6965619983667,0.252870544007453,,,,,"['mlp', 'knn', 'svr']",,37598.911642417355,0.05879661164180678,32693.68606352515,-2.495956872622214,False,"New York, NY"
svr,svr,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,258,True,True,2,12,960.5494325924568,1.022014204592014,812.041300331954,-0.061032914704169716,6.056718134407706,-315.0,0.95,819.5551885676463,472.5983173384448,1.0163227607050287,348.67278530182955,0.006460138138858151,6,rmse,1122.1159819900568,,,,37728.643956138054,0.058841130017453995,32725.464303272016,-2.5201235840966,False,"New York, NY"
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'adam', 'random_state': 20}",minmax,258,True,True,2,12,959.7400088424587,1.01399492981125,810.2588541571641,-0.059245472310220926,8.642651125357064,-315.0,0.95,857.4890228811208,472.9322710229853,0.9905148964623601,349.9953780364716,0.005055505432488894,6,rmse,1103.2091180148866,,,,37776.73754008829,0.05893417917964686,32776.4272206369,-2.5291036715695965,False,"New York, NY"
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'max_depth': 2, 'max_features': None}",minmax,258,True,True,2,12,2705.2970413783537,2.4906432600572614,2228.8201619672727,-0.07896266649171069,572.1852944106031,3641.0,0.95,846.162476857115,427.01181300588354,1.3690996544804126,330.5990350010869,0.7676794941881379,6,rmse,1900.9636892960903,,,,38496.49479531254,0.06501525452986748,33681.02469381375,0.0039897679104323736,True,"Salt Lake City, UT"
knn,knn,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'n_neighbors': 2, 'weights': 'uniform'}",minmax,258,True,True,2,12,2715.8597472378183,3.1931503261504965,2313.9166666666665,-0.08740463362029405,556.5,3641.0,0.95,1048.5888493921166,592.4281292257082,2.455952986807556,410.13829787234044,0.5528233608418343,6,rmse,950.4923724049552,,,,51178.91650560316,0.08522629497634582,44279.958333333336,-0.760368542831604,False,"Salt Lake City, UT"
